-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2021 through 05/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,WS10M,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN
45.25,36.75,2021,60,102.35,2.71,0.96,88.14,3.56,0.97
45.25,37.25,2021,60,102.21,2.41,0.9,87.84,4.39,0.41
45.25,37.75,2021,60,102.09,2.16,0.91,87.46,5.49,-0.39
45.25,38.25,2021,60,102.07,2.13,1.12,87.31,6.26,-1.15
45.25,38.75,2021,60,102.07,2.41,1.7,87.28,6.13,-1.5
45.75,29.25,2021,60,102.12,5.18,1.87,83.61,6.74,0.14
45.75,29.75,2021,60,102.36,5.11,1.68,84.91,5.83,0.76
45.75,30.25,2021,60,102.54,5.08,1.52,85.89,5.02,1.55
45.75,30.75,2021,60,102.63,5.02,1.35,85.45,4.75,2.29
45.75,31.25,2021,60,102.65,4.74,1.18,83.38,5.11,2.63
45.75,31.75,2021,60,102.64,4.25,1.0,81.53,5.29,2.57
45.75,32.25,2021,60,102.56,3.71,0.69,80.16,5.18,2.45
45.75,32.75,2021,60,102.43,3.1,0.41,80.18,5.32,1.65
45.75,33.25,2021,60,102.3,2.57,0.22,80.89,5.83,0.42
45.75,33.75,2021,60,102.23,2.4,0.1,80.06,6.31,-0.16
45.75,34.25,2021,60,102.24,2.5,0.05,78.99,6.5,-0.45
45.75,34.75,2021,60,102.32,2.54,0.05,81.01,5.6,-0.03
45.75,35.25,2021,60,102.44,2.51,0.11,85.23,4.08,0.54
45.75,35.75,2021,60,102.51,2.43,0.21,89.88,2.63,0.78
45.75,36.25,2021,60,102.45,2.43,0.33,92.28,2.22,0.38
45.75,36.75,2021,60,102.46,2.55,0.35,93.53,2.12,0.27
45.75,37.25,2021,60,102.48,2.52,0.31,93.28,2.7,0.2
45.75,37.75,2021,60,102.47,2.46,0.35,91.87,3.87,-0.22
45.75,38.25,2021,60,102.41,2.45,0.54,89.84,5.21,-0.89
45.75,38.75,2021,60,102.29,2.57,0.96,87.97,5.95,-1.18
46.25,29.25,2021,60,101.58,4.98,2.25,86.15,6.24,-1.34
46.25,29.75,2021,60,101.91,4.53,2.13,85.32,6.21,-1.16
46.25,30.25,2021,60,102.21,4.28,1.85,85.23,5.69,-0.46
46.25,30.75,2021,60,102.45,4.2,1.37,85.73,4.88,0.48
46.25,31.25,2021,60,102.58,4.02,1.06,85.41,4.69,0.9
46.25,31.75,2021,60,102.58,3.64,0.73,83.58,4.9,0.78
46.25,32.25,2021,60,102.53,3.2,0.47,81.53,5.49,0.38
46.25,32.75,2021,60,102.48,2.81,0.26,80.01,6.03,-0.26
46.25,33.25,2021,60,102.43,2.59,0.11,79.26,6.3,-0.94
46.25,33.75,2021,60,102.36,2.58,0.06,79.03,6.29,-1.34
46.25,34.25,2021,60,102.36,2.7,0.04,78.96,6.25,-1.35
46.25,34.75,2021,60,102.4,2.77,0.04,80.64,5.71,-0.89
46.25,35.25,2021,60,102.45,2.72,0.04,83.54,4.77,-0.22
46.25,35.75,2021,60,102.49,2.58,0.07,86.78,3.74,0.32
46.25,36.25,2021,60,102.48,2.45,0.11,89.12,3.1,0.41
46.25,36.75,2021,60,102.5,2.51,0.13,90.8,2.82,0.31
46.25,37.25,2021,60,102.48,2.58,0.13,91.74,2.56,0.4
46.25,37.75,2021,60,102.43,2.58,0.15,91.01,3.25,0.15
46.25,38.25,2021,60,102.33,2.51,0.25,89.09,4.71,-0.47
46.25,38.75,2021,60,102.21,2.54,0.53,87.94,5.61,-1.04
46.75,29.25,2021,60,101.35,4.68,2.34,87.14,5.76,-2.09
46.75,29.75,2021,60,101.58,4.21,2.2,86.28,5.9,-2.18
46.75,30.25,2021,60,101.8,3.87,1.89,85.43,5.82,-2.05
46.75,30.75,2021,60,102.03,3.68,1.39,84.81,5.55,-1.68
46.75,31.25,2021,60,102.22,3.57,0.96,84.41,5.3,-1.33
46.75,31.75,2021,60,102.29,3.41,0.57,82.11,5.56,-1.39
46.75,32.25,2021,60,102.26,3.08,0.34,80.07,6.19,-1.75
46.75,32.75,2021,60,102.21,2.8,0.19,78.64,6.64,-1.96
46.75,33.25,2021,60,102.17,2.68,0.07,78.03,6.67,-2.02
46.75,33.75,2021,60,102.08,2.69,0.06,78.28,6.4,-2.27
46.75,34.25,2021,60,102.04,2.82,0.05,79.01,6.32,-2.3
46.75,34.75,2021,60,102.05,2.9,0.06,80.11,6.2,-1.83
46.75,35.25,2021,60,102.05,2.92,0.07,81.36,5.94,-1.33
46.75,35.75,2021,60,102.02,2.84,0.09,82.77,5.46,-1.02
46.75,36.25,2021,60,101.94,2.69,0.12,84.59,4.78,-0.82
46.75,36.75,2021,60,101.98,2.67,0.11,85.84,4.53,-0.8
46.75,37.25,2021,60,102.11,2.73,0.1,86.98,4.04,-0.55
46.75,37.75,2021,60,102.21,2.76,0.1,87.26,4.21,-0.59
46.75,38.25,2021,60,102.22,2.73,0.16,87.15,4.92,-0.9
46.75,38.75,2021,60,102.16,2.68,0.32,88.38,5.03,-0.97
47.25,29.25,2021,60,101.07,4.45,2.25,87.14,5.28,-2.42
47.25,29.75,2021,60,101.16,4.02,2.04,86.82,5.35,-2.48
47.25,30.25,2021,60,101.33,3.68,1.76,86.19,5.42,-2.7
47.25,30.75,2021,60,101.58,3.46,1.41,85.39,5.49,-2.95
47.25,31.25,2021,60,101.76,3.37,0.95,84.56,5.55,-3.04
47.25,31.75,2021,60,101.84,3.3,0.52,82.41,5.73,-3.07
47.25,32.25,2021,60,101.86,3.14,0.3,80.66,6.02,-2.98
47.25,32.75,2021,60,101.84,2.98,0.16,79.59,6.19,-2.65
47.25,33.25,2021,60,101.83,2.88,0.07,79.31,6.09,-2.21
47.25,33.75,2021,60,101.85,2.91,0.07,79.69,5.63,-2.07
47.25,34.25,2021,60,101.89,3.04,0.06,80.81,5.5,-2.01
47.25,34.75,2021,60,101.83,3.05,0.07,81.21,5.61,-1.73
47.25,35.25,2021,60,101.67,2.94,0.1,81.47,5.74,-1.6
47.25,35.75,2021,60,101.41,2.8,0.14,82.05,5.7,-1.67
47.25,36.25,2021,60,101.05,2.73,0.17,83.25,5.3,-1.64
47.25,36.75,2021,60,100.93,2.8,0.16,84.08,5.1,-1.9
47.25,37.25,2021,60,101.14,2.92,0.15,84.62,4.91,-1.84
47.25,37.75,2021,60,101.42,3.01,0.16,85.51,4.75,-1.86
47.25,38.25,2021,60,101.64,3.01,0.22,86.79,4.61,-1.99
47.25,38.75,2021,60,101.77,2.83,0.34,87.94,4.41,-1.85
47.75,29.25,2021,60,100.63,4.34,2.19,87.31,4.55,-2.28
47.75,29.75,2021,60,100.72,3.98,1.85,87.26,4.58,-2.3
47.75,30.25,2021,60,100.95,3.66,1.55,87.13,4.61,-2.56
47.75,30.75,2021,60,101.2,3.44,1.27,86.94,4.62,-2.99
47.75,31.25,2021,60,101.28,3.34,0.86,86.34,4.64,-3.29
47.75,31.75,2021,60,101.21,3.3,0.53,85.02,4.68,-3.27
47.75,32.25,2021,60,101.29,3.22,0.32,83.73,4.94,-3.4
47.75,32.75,2021,60,101.38,3.12,0.17,82.69,5.24,-3.15
47.75,33.25,2021,60,101.45,3.04,0.09,82.03,5.38,-2.57
47.75,33.75,2021,60,101.55,3.02,0.09,81.78,5.18,-2.3
47.75,34.25,2021,60,101.61,3.14,0.11,82.63,5.02,-2.13
47.75,34.75,2021,60,101.57,3.13,0.12,82.98,5.06,-1.85
47.75,35.25,2021,60,101.41,2.97,0.14,82.94,5.23,-1.7
47.75,35.75,2021,60,101.13,2.74,0.18,82.85,5.34,-1.72
47.75,36.25,2021,60,100.8,2.57,0.22,83.25,5.02,-1.76
47.75,36.75,2021,60,100.54,2.66,0.24,83.75,4.64,-2.09
47.75,37.25,2021,60,100.48,2.84,0.25,84.21,4.51,-2.46
47.75,37.75,2021,60,100.52,3.0,0.3,85.0,4.32,-2.83
47.75,38.25,2021,60,100.63,3.03,0.39,86.04,3.98,-3.09
47.75,38.75,2021,60,100.8,2.89,0.48,86.84,3.63,-3.11
48.25,29.25,2021,60,100.19,4.3,2.06,88.28,3.64,-2.14
48.25,29.75,2021,60,100.39,3.94,1.66,88.16,3.59,-2.14
48.25,30.25,2021,60,100.62,3.65,1.34,88.12,3.5,-2.31
48.25,30.75,2021,60,100.79,3.44,1.08,88.29,3.31,-2.67
48.25,31.25,2021,60,100.74,3.33,0.76,88.59,3.01,-3.04
48.25,31.75,2021,60,100.63,3.32,0.52,88.67,2.9,-3.24
48.25,32.25,2021,60,100.75,3.28,0.33,88.01,3.22,-3.35
48.25,32.75,2021,60,100.91,3.21,0.2,86.96,3.7,-3.2
48.25,33.25,2021,60,101.03,3.15,0.13,85.81,4.14,-2.82
48.25,33.75,2021,60,101.17,3.11,0.13,84.81,4.41,-2.39
48.25,34.25,2021,60,101.19,3.12,0.17,84.86,4.37,-2.25
48.25,34.75,2021,60,101.26,3.07,0.19,84.84,4.56,-2.11
48.25,35.25,2021,60,101.22,2.94,0.21,84.58,4.86,-2.16
48.25,35.75,2021,60,101.08,2.74,0.24,83.97,5.07,-2.25
48.25,36.25,2021,60,100.95,2.49,0.27,82.97,4.88,-1.87
48.25,36.75,2021,60,100.74,2.49,0.34,83.17,4.46,-2.04
48.25,37.25,2021,60,100.5,2.63,0.4,84.16,4.07,-2.39
48.25,37.75,2021,60,100.28,2.78,0.49,85.13,3.64,-2.81
48.25,38.25,2021,60,100.15,2.85,0.59,85.69,3.18,-3.18
48.25,38.75,2021,60,100.17,2.83,0.61,85.81,2.77,-3.35
48.75,29.25,2021,60,99.87,4.23,1.77,89.76,2.74,-2.17
48.75,29.75,2021,60,100.06,3.9,1.4,89.81,2.53,-2.21
48.75,30.25,2021,60,100.25,3.6,1.12,90.15,2.25,-2.45
48.75,30.75,2021,60,100.42,3.36,0.91,90.75,1.91,-2.93
48.75,31.25,2021,60,100.51,3.21,0.69,91.5,1.5,-3.48
48.75,31.75,2021,60,100.54,3.17,0.47,92.65,1.26,-4.35
48.75,32.25,2021,60,100.67,3.19,0.3,93.11,1.33,-4.64
48.75,32.75,2021,60,100.86,3.2,0.19,92.17,1.83,-4.07
48.75,33.25,2021,60,101.06,3.15,0.14,90.19,2.62,-3.05
48.75,33.75,2021,60,101.18,3.08,0.14,88.56,3.33,-2.71
48.75,34.25,2021,60,101.32,3.07,0.18,87.36,3.82,-2.42
48.75,34.75,2021,60,101.33,2.98,0.2,86.63,4.21,-2.28
48.75,35.25,2021,60,101.21,2.85,0.21,86.07,4.49,-2.43
48.75,35.75,2021,60,101.01,2.71,0.24,85.25,4.64,-2.64
48.75,36.25,2021,60,100.87,2.53,0.3,83.62,4.68,-2.29
48.75,36.75,2021,60,100.77,2.47,0.4,82.65,4.48,-2.2
48.75,37.25,2021,60,100.7,2.52,0.53,83.25,4.17,-2.55
48.75,37.75,2021,60,100.59,2.56,0.65,83.89,3.75,-2.9
48.75,38.25,2021,60,100.5,2.56,0.71,83.84,3.27,-3.12
48.75,38.75,2021,60,100.53,2.58,0.66,83.22,2.72,-3.43
49.25,29.25,2021,60,99.77,4.12,1.44,91.21,2.06,-2.16
49.25,29.75,2021,60,99.96,3.77,1.12,91.52,1.83,-2.44
49.25,30.25,2021,60,100.17,3.46,0.9,92.18,1.5,-2.97
49.25,30.75,2021,60,100.42,3.21,0.77,92.99,1.16,-3.69
49.25,31.25,2021,60,100.7,3.06,0.63,93.72,0.9,-4.35
49.25,31.75,2021,60,100.92,3.06,0.42,94.99,0.65,-5.19
49.25,32.25,2021,60,101.09,3.15,0.27,96.02,0.48,-5.68
49.25,32.75,2021,60,101.24,3.16,0.17,96.0,0.65,-5.38
49.25,33.25,2021,60,101.36,3.07,0.12,94.86,1.17,-4.57
49.25,33.75,2021,60,101.36,2.97,0.11,93.31,1.86,-4.29
49.25,34.25,2021,60,101.41,2.97,0.12,91.06,2.9,-4.13
49.25,34.75,2021,60,101.28,2.91,0.14,89.43,3.49,-3.59
49.25,35.25,2021,60,101.04,2.84,0.16,88.07,3.86,-3.09
49.25,35.75,2021,60,100.81,2.76,0.19,86.61,4.13,-2.83
49.25,36.25,2021,60,100.76,2.62,0.24,84.69,4.38,-2.81
49.25,36.75,2021,60,100.8,2.49,0.33,82.11,4.44,-2.62
49.25,37.25,2021,60,100.82,2.5,0.47,81.43,4.23,-2.84
49.25,37.75,2021,60,100.79,2.5,0.61,81.53,3.88,-3.01
49.25,38.25,2021,60,100.77,2.47,0.68,81.62,3.45,-3.12
49.25,38.75,2021,60,100.82,2.48,0.61,81.25,2.96,-3.54
49.75,29.25,2021,60,99.96,3.88,1.11,92.58,1.75,-2.29
49.75,29.75,2021,60,100.21,3.55,0.89,92.88,1.6,-2.71
49.75,30.25,2021,60,100.48,3.27,0.73,93.35,1.37,-3.28
49.75,30.75,2021,60,100.75,3.08,0.63,93.99,1.08,-3.94
49.75,31.25,2021,60,101.02,3.0,0.53,94.84,0.73,-4.63
49.75,31.75,2021,60,101.25,2.99,0.38,95.89,0.49,-5.5
49.75,32.25,2021,60,101.36,3.04,0.26,96.62,0.36,-5.96
49.75,32.75,2021,60,101.38,3.03,0.17,97.22,0.32,-6.29
49.75,33.25,2021,60,101.31,2.95,0.11,97.51,0.38,-6.47
49.75,33.75,2021,60,101.23,2.91,0.09,96.94,0.63,-6.25
49.75,34.25,2021,60,101.11,2.92,0.09,95.76,1.13,-6.41
49.75,34.75,2021,60,100.98,2.88,0.1,94.32,1.69,-5.9
49.75,35.25,2021,60,100.78,2.84,0.13,93.08,2.06,-5.19
49.75,35.75,2021,60,100.62,2.81,0.15,91.36,2.44,-4.45
49.75,36.25,2021,60,100.66,2.72,0.17,87.44,3.41,-3.5
49.75,36.75,2021,60,100.71,2.58,0.22,83.09,3.94,-3.03
49.75,37.25,2021,60,100.7,2.54,0.32,80.91,3.91,-2.96
49.75,37.75,2021,60,100.66,2.51,0.43,80.69,3.59,-3.14
49.75,38.25,2021,60,100.61,2.48,0.52,81.48,3.21,-3.44
49.75,38.75,2021,60,100.6,2.49,0.5,81.66,2.91,-3.75
50.25,29.25,2021,60,100.36,3.62,0.85,93.43,1.79,-2.67
50.25,29.75,2021,60,100.58,3.37,0.74,93.66,1.64,-3.09
50.25,30.25,2021,60,100.82,3.16,0.62,94.23,1.39,-3.61
50.25,30.75,2021,60,101.08,3.01,0.51,95.21,1.01,-4.27
50.25,31.25,2021,60,101.25,2.89,0.4,96.44,0.47,-5.19
50.25,31.75,2021,60,101.27,2.81,0.34,96.71,0.27,-6.04
50.25,32.25,2021,60,101.22,2.81,0.27,96.93,0.2,-6.54
50.25,32.75,2021,60,101.14,2.87,0.2,97.16,0.22,-6.84
50.25,33.25,2021,60,101.05,2.94,0.14,97.4,0.27,-7.02
50.25,33.75,2021,60,100.98,2.95,0.12,97.62,0.3,-7.04
50.25,34.25,2021,60,100.86,2.96,0.12,97.78,0.3,-7.3
50.25,34.75,2021,60,100.76,2.87,0.12,97.49,0.48,-7.16
50.25,35.25,2021,60,100.61,2.78,0.13,97.26,0.58,-6.86
50.25,35.75,2021,60,100.46,2.71,0.14,96.44,0.74,-6.42
50.25,36.25,2021,60,100.43,2.61,0.15,93.31,1.58,-5.59
50.25,36.75,2021,60,100.46,2.55,0.19,88.69,2.25,-4.74
50.25,37.25,2021,60,100.46,2.56,0.23,86.56,2.33,-4.95
50.25,37.75,2021,60,100.44,2.55,0.3,86.23,2.1,-5.55
50.25,38.25,2021,60,100.42,2.5,0.36,86.83,1.73,-6.21
50.25,38.75,2021,60,100.43,2.45,0.34,87.28,1.32,-6.92
50.75,29.25,2021,60,100.75,3.52,0.67,94.2,1.77,-3.26
50.75,29.75,2021,60,100.93,3.3,0.6,94.66,1.54,-3.78
50.75,30.25,2021,60,101.12,3.12,0.52,95.38,1.22,-4.26
50.75,30.75,2021,60,101.28,2.96,0.43,96.44,0.78,-4.85
50.75,31.25,2021,60,101.34,2.75,0.35,97.69,0.24,-5.8
50.75,31.75,2021,60,101.24,2.7,0.34,97.36,0.18,-6.17
50.75,32.25,2021,60,101.11,2.72,0.29,97.15,0.16,-6.56
50.75,32.75,2021,60,100.97,2.79,0.23,97.14,0.18,-6.94
50.75,33.25,2021,60,100.86,2.89,0.17,97.34,0.22,-7.24
50.75,33.75,2021,60,100.77,2.95,0.14,97.69,0.28,-7.27
50.75,34.25,2021,60,100.68,2.98,0.14,97.84,0.33,-7.25
50.75,34.75,2021,60,100.58,2.9,0.14,97.88,0.36,-7.05
50.75,35.25,2021,60,100.45,2.77,0.15,97.76,0.38,-6.91
50.75,35.75,2021,60,100.29,2.63,0.17,97.45,0.41,-6.92
50.75,36.25,2021,60,100.14,2.5,0.19,96.88,0.48,-7.02
50.75,36.75,2021,60,100.13,2.48,0.19,94.35,0.76,-6.57
50.75,37.25,2021,60,100.17,2.55,0.24,92.91,0.75,-6.99
50.75,37.75,2021,60,100.23,2.57,0.32,92.04,0.57,-7.7
50.75,38.25,2021,60,100.3,2.52,0.39,91.58,0.26,-8.43
50.75,38.75,2021,60,100.43,2.46,0.35,91.78,-0.14,-9.29
51.25,29.25,2021,60,100.99,3.46,0.58,95.59,1.29,-3.83
51.25,29.75,2021,60,101.18,3.27,0.48,96.22,1.05,-4.43
51.25,30.25,2021,60,101.28,3.13,0.42,96.78,0.78,-4.9
51.25,30.75,2021,60,101.28,3.03,0.4,97.36,0.43,-5.37
51.25,31.25,2021,60,101.24,2.9,0.38,98.03,0.09,-5.97
51.25,31.75,2021,60,101.2,2.8,0.36,97.96,0.13,-6.07
51.25,32.25,2021,60,101.1,2.75,0.31,97.79,0.15,-6.43
51.25,32.75,2021,60,100.97,2.74,0.24,97.56,0.18,-6.84
51.25,33.25,2021,60,100.81,2.79,0.19,97.38,0.23,-7.15
51.25,33.75,2021,60,100.67,2.89,0.16,97.41,0.3,-7.26
51.25,34.25,2021,60,100.54,2.97,0.17,97.36,0.35,-7.09
51.25,34.75,2021,60,100.42,2.96,0.16,97.38,0.38,-6.78
51.25,35.25,2021,60,100.29,2.85,0.19,97.43,0.39,-6.62
51.25,35.75,2021,60,100.13,2.68,0.23,97.35,0.41,-6.64
51.25,36.25,2021,60,99.92,2.55,0.25,96.88,0.42,-6.6
51.25,36.75,2021,60,99.9,2.56,0.26,95.52,0.5,-6.65
51.25,37.25,2021,60,99.96,2.6,0.34,93.86,0.46,-6.94
51.25,37.75,2021,60,100.04,2.61,0.45,92.31,0.3,-7.42
51.25,38.25,2021,60,100.17,2.59,0.54,91.21,0.06,-7.96
51.25,38.75,2021,60,100.44,2.61,0.52,90.81,-0.17,-8.32
51.75,29.25,2021,60,101.13,3.5,0.52,97.0,0.47,-3.98
51.75,29.75,2021,60,101.23,3.38,0.43,97.29,0.37,-4.44
51.75,30.25,2021,60,101.25,3.29,0.38,97.54,0.26,-4.79
51.75,30.75,2021,60,101.2,3.24,0.39,97.83,0.12,-5.21
51.75,31.25,2021,60,101.11,3.19,0.4,98.16,0.0,-5.85
51.75,31.75,2021,60,101.06,3.07,0.4,98.13,0.06,-6.06
51.75,32.25,2021,60,100.95,2.92,0.35,97.99,0.13,-6.3
51.75,32.75,2021,60,100.83,2.8,0.27,97.69,0.21,-6.55
51.75,33.25,2021,60,100.71,2.75,0.21,97.24,0.28,-6.8
51.75,33.75,2021,60,100.56,2.85,0.19,96.69,0.32,-7.07
51.75,34.25,2021,60,100.42,2.95,0.2,96.74,0.36,-7.02
51.75,34.75,2021,60,100.31,3.0,0.19,96.98,0.4,-6.69
51.75,35.25,2021,60,100.19,2.93,0.21,97.21,0.42,-6.44
51.75,35.75,2021,60,100.02,2.76,0.27,97.26,0.42,-6.4
51.75,36.25,2021,60,99.84,2.6,0.31,96.91,0.44,-6.44
51.75,36.75,2021,60,99.85,2.59,0.34,95.41,0.42,-6.5
51.75,37.25,2021,60,99.9,2.66,0.39,93.76,0.36,-6.74
51.75,37.75,2021,60,99.94,2.7,0.48,92.18,0.24,-7.21
51.75,38.25,2021,60,100.04,2.73,0.59,90.92,0.07,-7.78
51.75,38.75,2021,60,100.31,2.81,0.61,90.25,-0.11,-8.15
52.25,29.25,2021,60,101.17,3.66,0.43,97.46,0.03,-4.09
52.25,29.75,2021,60,101.16,3.6,0.37,97.45,0.03,-4.34
52.25,30.25,2021,60,101.15,3.54,0.33,97.46,0.03,-4.5
52.25,30.75,2021,60,101.11,3.48,0.33,97.52,0.03,-4.85
52.25,31.25,2021,60,101.02,3.43,0.35,97.59,0.05,-5.65
52.25,31.75,2021,60,100.89,3.33,0.36,97.64,0.1,-6.08
52.25,32.25,2021,60,100.71,3.15,0.35,97.6,0.17,-6.22
52.25,32.75,2021,60,100.6,2.94,0.3,97.45,0.24,-6.33
52.25,33.25,2021,60,100.56,2.77,0.24,97.14,0.29,-6.55
